,confirm,suspect,heal,dead,severe,input,newConfirm,newDead,newHeal
厚生劳动省工作人员,386,0,2,0,0,0.0,,,
武汉包机回国者,173,0,0,2,0,0.0,,,
广岛,168,0,162,3,0,0.0,,,
愛媛县,82,0,64,4,0,0.0,,,
福岛,81,0,78,0,0,0.0,,,
岩手县,25,0,0,0,0,0.0,,,
长崎,17,0,16,1,0,0.0,,,
撤回侨民,14,0,14,0,0,0.0,,,
未明确地区,0,0,0,0,0,0.0,,,
泰国,2141241,0,2048815,20942,0,0.0,,,
新加坡,269211,0,259556,759,0,0.0,,,
韩国,473034,0,407175,3852,0,0.0,,,
首尔,22484,0,17093,265,0,0.0,,,
京畿道,18134,0,14178,384,0,0.0,,,
大邱,8147,0,7751,205,0,0.0,,,
仁川,3548,0,2922,42,0,0.0,,,
庆尚北道,2776,0,2436,64,0,0.0,,,
未明确地区,2600,0,1870,2,0,0.0,,,
釜山,2415,0,1851,84,0,0.0,,,
忠清南道,1899,0,1637,30,0,0.0,,,
庆尚南道,1765,0,1439,7,0,0.0,,,
江原道,1529,0,1251,24,0,0.0,,,
忠清北道,1464,0,1081,41,0,0.0,,,
光州,1433,0,1188,12,0,0.0,,,
全罗北道,989,0,837,34,0,0.0,,,
大田,948,0,855,12,0,0.0,,,
蔚山,886,0,706,36,0,0.0,,,
全罗南道,659,0,542,6,0,0.0,,,
济州岛,497,0,462,0,0,0.0,,,
世宗,167,0,154,1,0,0.0,,,
济州,15,0,15,0,0,0.0,,,
澳大利亚,217842,0,197070,2050,0,0.0,,,
德国,6179839,0,5082500,103604,0,0.0,,,
美国,49969856,0,39523573,808763,0,0.0,,,
加利福尼亚,4062369,0,2124938,64797,0,0.0,,,
德克萨斯,3249297,0,2999374,53904,0,0.0,,,
佛罗里达,2827450,0,2306339,39934,0,0.0,,,
纽约,2244682,0,2089578,54330,0,0.0,,,
伊利诺伊,1444211,0,1367928,26023,0,0.0,,,
宾夕法尼亚,1242748,0,1188437,28000,0,0.0,,,
乔治亚,1224457,0,1094615,21831,0,0.0,,,
俄亥俄州,1143599,0,1096025,20556,0,0.0,,,
北卡罗来纳,1086938,0,1025847,13759,0,0.0,,,
新泽西,1050083,0,993514,26650,0,0.0,,,
密歇根州,1021681,0,874163,21228,0,0.0,,,
亚利桑那,948245,0,883855,18388,0,0.0,,,
田纳西,923520,0,874590,12844,0,0.0,,,
印第安纳,786272,0,740239,14064,0,0.0,,,
马萨诸塞,729047,0,0,18098,0,0.0,,,
弗吉尼亚,709319,0,0,11571,0,0.0,,,
密苏里州,702924,0,581057,10459,0,0.0,,,
威斯康星,697781,0,0,8306,0,0.0,,,
南卡罗来纳州,643621,0,584726,9981,0,0.0,,,
明尼苏达,618906,0,604597,7791,0,0.0,,,
阿拉巴马州,612086,0,0,11625,0,0.0,,,
路易斯安那州,590446,0,0,11260,0,0.0,,,
科罗拉多,584462,0,518784,7262,0,0.0,,,
俄克拉荷马,500311,0,474167,7531,0,0.0,,,
肯塔基,500267,0,0,7387,0,0.0,,,
华盛顿州,496673,0,232455,6218,0,0.0,,,
马里兰,474555,0,11141,9861,0,0.0,,,
犹他,440497,0,421347,2503,0,0.0,,,
爱荷华州,413988,0,368607,6193,0,0.0,,,
阿肯色州,405272,0,376023,6322,0,0.0,,,
内华达,366584,0,323729,6040,0,0.0,,,
密西西比州,365061,0,320771,7649,0,0.0,,,
康涅狄格,359363,0,341358,8296,0,0.0,,,
堪萨斯州,342196,0,313895,5322,0,0.0,,,
美军,318759,0,302978,385,0,0.0,,,
退伍军人事务部,283037,0,261154,12870,0,0.0,,,
内布拉斯加,231069,0,0,2290,0,0.0,,,
俄勒冈,230103,0,204951,2903,0,0.0,,,
新墨西哥州,215098,0,197693,4425,0,0.0,,,
爱达荷州,205033,0,117460,2224,0,0.0,,,
西弗吉尼亚,170199,0,163217,2972,0,0.0,,,
罗德岛,155825,0,0,2743,0,0.0,,,
波多黎各,152532,0,130097,2611,0,0.0,,,
南达科塔州,125592,0,122885,2050,0,0.0,,,
蒙大拿,118270,0,114381,1723,0,0.0,,,
特拉华州,112967,0,108258,1835,0,0.0,,,
北达科他州,112393,0,110145,1542,0,0.0,,,
新罕布什尔,102117,0,99458,1389,0,0.0,,,
阿拉斯加州,75056,0,67446,391,0,0.0,,,
缅因州,71304,0,0,901,0,0.0,,,
怀俄明州,67026,0,64225,786,0,0.0,,,
联邦监狱局,55304,0,0,246,0,0.0,,,
华盛顿特区,51589,0,34985,1149,0,0.0,,,
夏威夷,46940,0,0,543,0,0.0,,,
纳瓦霍族保留地,31650,0,30038,1383,0,0.0,,,
佛蒙特,25571,0,24326,262,0,0.0,,,
关岛,8725,0,8391,143,0,0.0,,,
美属维尔京群岛,5033,0,4647,40,0,0.0,,,
北马里亚纳群岛,183,0,0,2,0,0.0,,,
至尊公主号邮轮,103,0,0,3,0,0.0,,,
钻石公主号邮轮,46,0,0,0,0,0.0,,,
撤回侨民,3,0,0,0,0,0.0,,,
未明确地区,0,0,0,0,0,0.0,,,
马来西亚,2658772,0,2566159,30614,0,0.0,,,
越南,1309092,0,1009277,26260,0,0.0,,,
圣巴泰勒米,6,0,6,0,0,,,,
肯尼亚,255437,0,248426,5335,0,0.0,,,
伊朗,6134465,0,5923316,130200,0,0.0,,,
未明确地区,19857,0,13911,2757,0,0.0,,,
德黑兰省,5098,0,0,0,0,0.0,,,
德黑兰,5098,0,0,0,0,0.0,,,
伊斯法罕省,1979,0,0,0,0,0.0,,,
伊斯法罕,1979,0,0,0,0,0.0,,,
马赞德兰省,1700,0,0,0,0,0.0,,,
马赞德兰,1700,0,0,0,0,0.0,,,
吉兰省,1191,0,0,0,0,0.0,,,
吉兰,1191,0,0,0,0,0.0,,,
库姆省,1178,0,0,0,0,0.0,,,
库姆,1178,0,0,2,0,0.0,,,
厄尔布尔士省,1177,0,0,0,0,0.0,,,
厄尔布尔士,1177,0,0,0,0,0.0,,,
亚兹德,1100,0,0,104,0,0.0,,,
中央省,882,0,0,0,0,0.0,,,
拉扎维霍拉桑省,858,0,0,0,0,0.0,,,
呼罗珊,858,0,0,0,0,0.0,,,
东阿塞拜疆省,813,0,0,0,0,0.0,,,
东阿塞拜疆,813,0,0,0,0,0.0,,,
亚兹德省,725,0,0,0,0,0.0,,,
加兹温省,669,0,0,0,0,0.0,,,
加兹温,669,0,0,0,0,0.0,,,
塞姆南省,645,0,0,0,0,0.0,,,
塞姆南,645,0,0,0,0,0.0,,,
法尔斯省,505,0,0,0,0,0.0,,,
法尔斯,505,0,0,0,0,0.0,,,
洛雷斯坦省,476,0,0,0,0,0.0,,,
洛雷斯坦,476,0,0,0,0,0.0,,,
胡泽斯坦省,444,0,0,0,0,0.0,,,
胡齐斯坦,444,0,0,0,0,0.0,,,
西阿塞拜疆省,395,0,0,0,0,0.0,,,
西阿塞拜疆,395,0,0,0,0,0.0,,,
赞詹,394,0,0,0,0,0.0,,,
赞詹省,394,0,0,0,0,0.0,,,
古列斯坦省,391,0,0,0,0,0.0,,,
戈勒斯坦,391,0,0,0,0,0.0,,,
阿尔达比勒省,289,0,0,0,0,0.0,,,
阿尔达比勒,289,0,0,0,0,0.0,,,
哈马丹省,243,0,0,0,0,0.0,,,
哈马丹,243,0,0,0,0,0.0,,,
库尔德斯坦省,238,0,0,0,0,0.0,,,
库尔德斯坦,238,0,0,0,0,0.0,,,
伊拉姆省,183,0,0,0,0,0.0,,,
伊拉姆,183,0,0,0,0,0.0,,,
南霍拉桑省,178,0,0,0,0,0.0,,,
南呼罗珊,178,0,0,0,0,0.0,,,
克尔曼沙省,175,0,0,0,0,0.0,,,
克尔曼沙汗,175,0,0,0,0,0.0,,,
克尔曼省,169,0,0,0,0,0.0,,,
克尔曼,169,0,0,0,0,0.0,,,
北霍拉桑省,165,0,0,0,0,0.0,,,
北呼罗珊,165,0,0,0,0,0.0,,,
霍尔木兹甘省,148,0,0,0,0,0.0,,,
霍尔木兹甘,148,0,0,0,0,0.0,,,
锡斯坦俾路支斯坦省,134,0,0,0,0,0.0,,,
锡斯坦-俾路支斯坦,134,0,0,0,0,0.0,,,
科吉卢耶博韦艾哈迈德省,73,0,0,0,0,0.0,,,
科吉卢耶-博韦艾哈迈德,73,0,0,0,0,0.0,,,
恰马哈勒巴赫蒂亚里省,68,0,0,0,0,0.0,,,
恰哈马哈勒-巴赫蒂亚里,68,0,0,0,0,0.0,,,
布什尔省,55,0,0,0,0,0.0,,,
布什尔,55,0,0,0,0,0.0,,,
以色列,1346106,0,1332425,8204,0,0.0,,,
毛利亚尼亚,16,0,6,2,0,,,,
黎巴嫩,678801,0,634994,8775,0,0.0,,,
克罗地亚,631037,0,590341,11218,0,0.0,,,
奥地利,1198478,0,1075482,12796,0,0.0,,,
瑞士,1039730,0,870684,11612,0,0.0,,,
希腊,966221,0,876039,18595,0,0.0,,,
毛里求斯,22090,0,20266,455,0,0.0,,,
爱沙尼亚,224993,0,207850,1823,0,0.0,,,
北马其顿,217301,0,203574,7641,0,0.0,,,
白俄罗斯,663813,0,652874,5162,0,0.0,,,
立陶宛,479845,0,444556,6847,0,0.0,,,
阿塞拜疆,596388,0,564577,7967,0,0.0,,,
美属维尔京群岛,72,0,46,6,0,,,,
蒙古,197,0,98,0,0,,,,
乌克兰,3497477,0,3050659,88280,0,0.0,,,
波兰,3671421,0,3142265,85675,0,0.0,,,
波黑,277228,0,192218,12687,0,0.0,,,
蒙特塞拉特,11,0,10,1,0,,,,
南非,3031694,0,2858144,89966,0,0.0,,,
布隆迪,85,0,45,1,0,,,,
南苏丹,12758,0,12463,133,0,0.0,,,
马耳他,39934,0,37761,468,0,0.0,,,
摩尔多瓦,366256,0,350497,9217,0,0.0,,,
保加利亚,703160,0,573497,28852,0,0.0,,,
孟加拉,1577443,0,1542274,28001,0,0.0,,,
阿尔巴尼亚,1521,0,1044,36,0,,,,
巴勒斯坦,431863,0,423981,4549,0,0.0,,,
科摩罗,176,0,114,2,0,,,,
阿富汗,157455,0,140723,7312,0,0.0,,,
沙特阿拉伯,549912,0,539056,8844,0,0.0,,,
新西兰,12195,0,5834,44,0,0.0,,,
塔吉克斯坦,17095,0,16966,124,0,0.0,,,
泽西岛,313,0,292,15,0,0.0,,,
叙利亚,177,0,74,6,0,,,,
巴拿马,479053,0,468838,7374,0,0.0,,,
古巴,963090,0,954175,8309,0,0.0,,,
尼日利亚,214622,0,207450,2980,0,0.0,,,
摩洛哥,950591,0,932920,14788,0,0.0,,,
塞内加尔,74024,0,72103,1886,0,0.0,,,
老挝,19,0,19,0,0,,,,
巴哈马,22836,0,21616,705,0,0.0,,,
马约特岛,21003,0,2964,185,0,0.0,,,
斯洛文尼亚,430064,0,395415,5303,0,0.0,,,
卢森堡,90774,0,84834,880,0,0.0,,,
爱尔兰,594250,0,458280,5707,0,0.0,,,
厄瓜多尔,526870,0,443880,33250,0,0.0,,,
捷克,2240742,0,1922396,33723,0,0.0,,,
匈牙利,1134869,0,910745,35122,0,0.0,,,
法属圭亚那,46142,0,11254,328,0,0.0,,,
多哥共和国,530,0,291,13,0,0.0,,,
哥斯达黎加,567383,0,552158,7312,0,0.0,,,
文莱,15186,0,14773,98,0,0.0,,,
法罗群岛,187,0,187,0,0,0.0,,,
马提尼克岛,45501,0,104,718,0,0.0,,,
荷兰,2751954,0,2158065,19668,0,0.0,,,
巴西,22143091,0,21362553,615674,0,0.0,,,
洪都拉斯,378251,0,122039,10413,0,0.0,,,
乌拉圭,400925,0,392582,6134,0,0.0,,,
秘鲁,2242646,0,1720665,201360,0,0.0,,,
智利,1772547,0,1665361,38501,0,0.0,,,
格陵兰,1582,0,1261,0,0,0.0,,,
圣巴托洛谬岛,6,0,6,0,0,,,,
马尔代夫,92211,0,90205,254,0,0.0,,,
委内瑞拉,434918,0,422289,5193,0,0.0,,,
毛里塔尼亚,39558,0,37877,840,0,0.0,,,
纳米比亚,31,0,17,0,0,,,,
法属留尼汪岛,487,0,447,1,0,0.0,,,
波多黎各,5536,0,0,146,0,0.0,,,
加纳,130920,0,129042,1209,0,0.0,,,
赤道几内亚,13599,0,13346,175,0,0.0,,,
几内亚,30770,0,29725,387,0,0.0,,,
卢旺达,100414,0,45522,1343,0,0.0,,,
格林纳达,23,0,22,0,0,,,,
斯威士兰,47504,0,45271,1248,0,0.0,,,
坦桑尼亚,26270,0,0,730,0,0.0,,,
贝宁,24863,0,24546,161,0,0.0,,,
刚果（金）,58319,0,50930,1107,0,0.0,,,
中非共和国,11742,0,6859,101,0,0.0,,,
利比里亚,5824,0,5523,287,0,0.0,,,
索马里,23051,0,12325,1331,0,0.0,,,
塞拉利昂,6402,0,0,121,0,0.0,,,
乍得,5701,0,4874,181,0,0.0,,,
赞比亚,210312,0,206466,3667,0,0.0,,,
巴巴多斯,96,0,83,7,0,,,,
马里,17915,0,15298,618,0,0.0,,,
阿根廷,5340676,0,5201840,116646,0,0.0,,,
法属波利尼西亚,60,0,60,0,0,,,,
巴林,277831,0,276123,1394,0,0.0,,,
莫桑比克,151924,0,149575,1941,0,0.0,,,
喀麦隆,107148,0,102716,1804,0,0.0,,,
乌干达,127655,0,97627,3254,0,0.0,,,
厄立特里亚,41,0,39,0,0,,,,
刚果（布）,18970,0,12421,354,0,0.0,,,
津巴布韦,139046,0,128868,4710,0,0.0,,,
丹麦,509111,0,447152,2946,0,0.0,,,
阿鲁巴,16450,0,16095,174,0,0.0,,,
斐济,52552,0,51121,697,0,0.0,,,
伯利兹,30680,0,28979,579,0,0.0,,,
缅甸,524407,0,500304,19141,0,0.0,,,
塞浦路斯,136832,0,124370,601,0,0.0,,,
关岛,183,0,143,5,0,0.0,,,
科索沃,1326,0,921,31,0,0.0,,,
圣皮埃尔岛和密克隆岛,1,0,1,0,0,0.0,,,
吉尔吉斯斯坦,183615,0,178602,2758,0,0.0,,,
博茨瓦纳,60,0,24,1,0,,,,
尼日尔,7080,0,6729,261,0,0.0,,,
苏里南,50993,0,29577,1170,0,0.0,,,
佛得角,38450,0,37972,351,0,0.0,,,
萨尔瓦多,119803,0,102982,3783,0,0.0,,,
圭亚那,159,0,99,12,0,,,,
尼加拉瓜,17254,0,4225,210,0,0.0,,,
冈比亚,28,0,24,1,0,,,,
东帝汶,24,0,24,0,0,,,,
巴基斯坦,1286825,0,1245606,28767,0,0.0,,,
埃及,363162,0,301308,20727,0,0.0,,,
科威特,413491,0,410723,2465,0,0.0,,,
斯洛伐克,729475,0,595369,14826,0,0.0,,,
直布罗陀,7371,0,6955,99,0,0.0,,,
摩纳哥,99,0,93,4,0,,,,
巴拉圭,463372,0,446159,16478,0,0.0,,,
荷属安的列斯,22,0,15,1,0,,,,
多米尼克,18,0,16,0,0,,,,
乌兹别克斯坦,194333,0,190939,1418,0,0.0,,,
黑山,158466,0,154027,2329,0,0.0,,,
危地马拉,619852,0,602717,15986,0,0.0,,,
加蓬,37477,0,33094,280,0,0.0,,,
苏丹,43489,0,35491,3164,0,0.0,,,
利比亚,374989,0,355121,5493,0,0.0,,,
圣马丁岛,77,0,61,15,0,,,,
土耳其,8901117,0,8436712,77830,0,0.0,,,
巴布亚新几内亚,8,0,8,0,0,,,,
多米尼加,408516,0,402191,4212,0,0.0,,,
约旦,975956,0,903088,11761,0,0.0,,,
亚美尼亚,340723,0,321106,7683,0,0.0,,,
圣基茨和尼维斯,15,0,15,0,0,,,,
瓜德罗普,171,0,157,14,0,,,,
安提瓜和巴布达,4147,0,4019,117,0,0.0,,,
玻利维亚,542859,0,497115,19215,0,0.0,,,
哥伦比亚,5081064,0,4921311,128780,0,0.0,,,
圣文森特和格林纳丁斯,27,0,25,0,0,,,,
圣卢西亚,19,0,18,0,0,,,,
法国,7917264,0,7171380,119535,0,0.0,,,
阿联酋,742328,0,737330,2148,0,0.0,,,
加拿大,1807703,0,1746964,29768,0,0.0,,,
印度,34641561,0,34060774,473537,0,0.0,,,
英国,10464389,0,9220626,145605,0,0.0,,,
英格兰,2922841,0,7862,75782,0,0.0,,,
威尔士,178989,0,0,4945,0,0.0,,,
苏格兰,160992,0,0,6686,0,0.0,,,
未明确地区,95439,0,1713,0,0,0.0,,,
北爱尔兰,94539,0,0,1830,0,0.0,,,
意大利,5109082,0,4742887,134195,0,0.0,,,
伦巴第,869694,0,824764,33917,0,0.0,,,
威尼托,454803,0,430213,11686,0,0.0,,,
坎帕尼亚,445777,0,428961,7741,0,0.0,,,
艾米利亚-罗马涅,411888,0,382618,13369,0,0.0,,,
拉齐奥,374653,0,350845,8517,0,0.0,,,
皮埃蒙特,372507,0,357180,11717,0,0.0,,,
西西里,276550,0,241765,6342,0,0.0,,,
托斯卡纳,271265,0,253123,7013,0,0.0,,,
阿普利亚,263554,0,252241,6712,0,0.0,,,
弗留利-威尼斯-朱利亚,110808,0,105799,3801,0,0.0,,,
马尔凯,110517,0,103975,3046,0,0.0,,,
利古里亚,109805,0,103487,4385,0,0.0,,,
阿布鲁佐,79055,0,74325,2529,0,0.0,,,
卡拉布里亚,77709,0,71582,1315,0,0.0,,,
博尔扎诺,75040,0,73155,1185,0,0.0,,,
撒丁岛,71984,0,62734,1580,0,0.0,,,
翁布里亚,61686,0,58569,1433,0,0.0,,,
特伦蒂诺-上阿迪杰,47489,0,45628,1366,0,0.0,,,
巴西利卡塔,28939,0,26924,599,0,0.0,,,
莫利塞,14249,0,13521,495,0,0.0,,,
瓦莱达奥斯塔,12019,0,11436,473,0,0.0,,,
普利亚,4515,0,3565,532,0,0.0,,,
弗留利-威尼斯朱利亚,3296,0,2850,343,0,0.0,,,
撒丁,1363,0,1198,132,0,0.0,,,
未明确地区,0,0,0,0,0,0.0,,,
俄罗斯,9801613,0,8502406,281278,0,0.0,,,
菲律宾,2834611,0,2771277,49386,0,0.0,,,
芬兰,191226,0,46000,1360,0,0.0,,,
尼泊尔,822592,0,804544,11541,0,0.0,,,
葡萄牙,1166787,0,1086887,18537,0,0.0,,,
也门,10025,0,6913,1954,0,0.0,,,
塞舌尔,11,0,11,0,0,,,,
西班牙,5202958,0,4927391,88159,0,0.0,,,
斯里兰卡,567682,0,542326,14461,0,0.0,,,
阿尔及利亚,211469,0,145195,6103,0,0.0,,,
柬埔寨,120256,0,116609,2960,0,0.0,,,
海地,25510,0,21644,747,0,0.0,,,
瑞典,1212145,0,1161927,15136,0,0.0,,,
特里尼达和多巴哥,123,0,109,8,0,,,,
吉布提,13508,0,13294,187,0,0.0,,,
圣多美与普林西比,659,0,176,12,0,0.0,,,
布基纳法索,16000,0,15345,286,0,0.0,,,
比利时,1827467,0,1358257,27167,0,0.0,,,
伊拉克,2084346,0,2050033,23885,0,0.0,,,
马拉维,61981,0,58824,2307,0,0.0,,,
冰岛,18333,0,16721,35,0,0.0,,,
几内亚比绍,6444,0,6277,149,0,0.0,,,
拉脱维亚,257329,0,241683,4267,0,0.0,,,
不丹,66,0,21,0,0,,,,
挪威,285494,0,88952,1093,0,0.0,,,
印度尼西亚,4257685,0,4106292,143867,0,0.0,,,
安哥拉,65259,0,63325,1735,0,0.0,,,
开曼群岛,187,0,115,1,0,,,,
埃塞俄比亚,372215,0,349626,6800,0,0.0,,,
梵蒂冈,12,0,12,0,0,,,,
科特迪瓦,61824,0,60864,706,0,0.0,,,
卡塔尔,244223,0,241459,611,0,0.0,,,
莱索托,4,0,2,0,0,,,,
格鲁吉亚,865293,0,806596,12344,0,0.0,,,
墨西哥,3900293,0,3255802,295154,0,0.0,,,
圣马力诺,5979,0,5610,93,0,0.0,,,
哈萨克斯坦,975150,0,941285,12769,0,0.0,,,
安道尔,18010,0,16162,132,0,0.0,,,
牙买加,91469,0,62942,2410,0,0.0,,,
格恩西岛,252,0,238,13,0,,,,
罗马尼亚,1786036,0,1701727,57099,0,0.0,,,
阿曼,304603,0,300039,4113,0,0.0,,,
列支敦士登,82,0,55,1,0,,,,
马达加斯加,44800,0,43119,972,0,0.0,,,
